Generating using factory_boy (factories.factory_boy_django_auth_minimal.UserFactory):
         391904 function calls (381920 primitive calls) in 12.530 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:986(create_module)
    20/19    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:989(exec_module)
     1267    0.000    0.000    0.000    0.000 <frozen importlib.machinery>:18(all_suffixes)
       19    0.000    0.000    0.000    0.000 <frozen os>:853(fsdecode)
       19    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
     1267    0.000    0.000    0.001    0.000 <frozen posixpath>:169(basename)
     1891    0.000    0.000    0.000    0.000 <frozen posixpath>:41(_get_sep)
      624    0.000    0.000    0.001    0.000 <frozen posixpath>:71(join)
      100    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000   12.531   12.531 <string>:1(<module>)
       19    0.000    0.000    0.002    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:10(Provider)
      200    0.000    0.000    0.000    0.000 __init__.py:102(_rand_seconds)
      200    0.000    0.000    0.000    0.000 __init__.py:108(return_None)
      300    0.000    0.000    0.000    0.000 __init__.py:1099(get_internal_type)
        1    0.000    0.000    0.000    0.000 __init__.py:11(Provider)
      600    0.000    0.000    0.000    0.000 __init__.py:1102(to_python)
      600    0.000    0.000    0.001    0.000 __init__.py:1118(get_prep_value)
      700    0.000    0.000    0.000    0.000 __init__.py:1221(get_internal_type)
     1200    0.000    0.000    0.000    0.000 __init__.py:1224(to_python)
     1200    0.001    0.000    0.001    0.000 __init__.py:1229(get_prep_value)
        3    0.000    0.000    0.000    0.000 __init__.py:1369(disable)
      400    0.000    0.000    0.000    0.000 __init__.py:1436(pre_save)
      400    0.000    0.000    0.000    0.000 __init__.py:1462(get_prep_value)
      744    0.000    0.000    0.000    0.000 __init__.py:1517(debug)
      200    0.000    0.000    0.000    0.000 __init__.py:1520(get_internal_type)
      800    0.000    0.000    0.000    0.000 __init__.py:1523(to_python)
      400    0.000    0.000    0.000    0.000 __init__.py:1573(pre_save)
      400    0.000    0.000    0.001    0.000 __init__.py:1584(get_prep_value)
      400    0.000    0.000    0.003    0.000 __init__.py:1604(get_db_prep_value)
        3    0.000    0.000    0.000    0.000 __init__.py:1776(getEffectiveLevel)
      744    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
      400    0.000    0.000    0.001    0.000 __init__.py:1979(_parse_date_string)
      400    0.001    0.000    0.004    0.000 __init__.py:2014(_parse_date_time)
      200    0.001    0.000    0.005    0.000 __init__.py:2048(date_time_between)
      200    0.000    0.000    0.000    0.000 __init__.py:2048(get_prep_value)
      255    0.000    0.000    0.007    0.000 __init__.py:208(first_name)
      243    0.000    0.000    0.009    0.000 __init__.py:211(last_name)
      200    0.000    0.000    0.000    0.000 __init__.py:221(_to_ascii)
        5    0.000    0.000    0.001    0.000 __init__.py:226(compile)
      100    0.000    0.000    0.006    0.000 __init__.py:228(email)
        3    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
      100    0.000    0.000    0.000    0.000 __init__.py:239(safe_domain_name)
      400    0.000    0.000    0.002    0.000 __init__.py:24(datetime_to_timestamp)
        3    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
      200    0.000    0.000    0.000    0.000 __init__.py:2740(get_db_prep_value)
      600    0.000    0.000    0.000    0.000 __init__.py:2792(get_internal_type)
        5    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
      200    0.000    0.000    0.014    0.000 __init__.py:282(user_name)
       25    0.000    0.000    0.000    0.000 __init__.py:285(__init__)
      100    0.000    0.000    0.000    0.000 __init__.py:309(random_int)
      114    0.000    0.000    0.000    0.000 __init__.py:321(random_digit)
        2    0.000    0.000    0.000    0.000 __init__.py:328(__getattr__)
       14    0.000    0.000    0.000    0.000 __init__.py:4(Provider)
      200    0.000    0.000    0.000    0.000 __init__.py:4(unidecode)
      843    0.008    0.000    0.017    0.000 __init__.py:413(random_elements)
      100    0.000    0.000    0.000    0.000 __init__.py:470(_asdict)
     1500    0.000    0.000    0.001    0.000 __init__.py:492(get_col)
       11    0.000    0.000    0.000    0.000 __init__.py:501(cached_col)
     1100    0.000    0.000    0.000    0.000 __init__.py:507(select_format)
      843    0.001    0.000    0.017    0.000 __init__.py:536(random_element)
      300    0.000    0.000    0.000    0.000 __init__.py:595(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:6(Provider)
      200    0.000    0.000    0.001    0.000 __init__.py:608(numerify)
     1500    0.001    0.000    0.001    0.000 __init__.py:615(__eq__)
      114    0.000    0.000    0.000    0.000 __init__.py:627(<lambda>)
      200    0.000    0.000    0.000    0.000 __init__.py:634(lexify)
       45    0.000    0.000    0.000    0.000 __init__.py:643(<lambda>)
      200    0.000    0.000    0.001    0.000 __init__.py:645(bothify)
      600    0.000    0.000    0.000    0.000 __init__.py:669(update)
      100    0.000    0.000    0.000    0.000 __init__.py:688(get_pk_value_on_save)
        1    0.000    0.000    0.000    0.000 __init__.py:7(Provider)
       45    0.000    0.000    0.010    0.000 __init__.py:73(import_module)
      300    0.000    0.000    0.001    0.000 __init__.py:781(db_type_parameters)
      300    0.000    0.000    0.001    0.000 __init__.py:798(db_type)
     1200    0.000    0.000    0.000    0.000 __init__.py:860(get_db_converters)
       12    0.000    0.000    0.000    0.000 __init__.py:873(db_returning)
     2100    0.000    0.000    0.000    0.000 __init__.py:930(pre_save)
     2400    0.000    0.000    0.001    0.000 __init__.py:934(get_prep_value)
      100    0.000    0.000    0.000    0.000 __init__.py:94(pybool)
     1800    0.000    0.000    0.002    0.000 __init__.py:940(get_db_prep_value)
     2100    0.001    0.000    0.006    0.000 __init__.py:950(get_db_prep_save)
      300    0.000    0.000    0.000    0.000 __init__.py:960(get_default)
        2    0.000    0.000    0.000    0.000 __init__.py:99(__getattr__)
      400    0.000    0.000    0.000    0.000 _common.py:137(fromutc)
       17    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
       17    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
       13    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
     34/5    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
       12    0.000    0.000    0.000    0.000 _compiler.py:398(_simple)
       10    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
        5    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        5    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        5    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
       10    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
        5    0.000    0.000    0.000    0.000 _compiler.py:573(_code)
        5    0.000    0.000    0.001    0.000 _compiler.py:740(compile)
      600    0.000    0.000    0.000    0.000 _factories.py:13(__call__)
        1    0.000    0.000    0.001    0.001 _functions.py:40(register)
       37    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       64    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
      183    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
       15    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       54    0.000    0.000    0.000    0.000 _parser.py:176(append)
    41/19    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        5    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      355    0.000    0.000    0.000    0.000 _parser.py:240(__next)
      140    0.000    0.000    0.000    0.000 _parser.py:256(match)
      120    0.000    0.000    0.000    0.000 _parser.py:261(get)
       13    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
       62    0.000    0.000    0.000    0.000 _parser.py:293(tell)
       13    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
       12    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        5    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
     25/5    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
     25/5    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        5    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
       37    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       13    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        5    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        5    0.000    0.000    0.000    0.000 _parser.py:969(parse)
       13    0.000    0.000    0.000    0.000 _parser.py:98(closegroup)
       20    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
 1403/900    0.001    0.000    0.037    0.000 asyncio.py:15(inner)
      200    0.000    0.000    0.158    0.001 base.py:1028(_do_update)
      100    0.000    0.000    0.029    0.000 base.py:1056(_do_insert)
      300    0.000    0.000    0.000    0.000 base.py:1069(_prepare_related_fields_for_save)
        1    0.000    0.000    0.000    0.000 base.py:146(get_connection_params)
        1    0.000    0.000    0.000    0.000 base.py:148(timezone)
        1    0.000    0.000    0.000    0.000 base.py:175(get_database_version)
        1    0.000    0.000    0.002    0.002 base.py:178(get_new_connection)
      600    0.000    0.000    0.001    0.000 base.py:183(queries_logged)
      500    0.000    0.000    0.000    0.000 base.py:189(create_cursor)
        1    0.000    0.000    0.000    0.000 base.py:203(check_database_version_supported)
      101    0.000    0.000    0.000    0.000 base.py:209(_set_autocommit)
        1    0.000    0.000    0.000    0.000 base.py:235(init_connection_state)
        1    0.000    0.000    0.002    0.002 base.py:250(connect)
      100    0.000    0.000    0.000    0.000 base.py:251(_initialize_counter)
      100    0.000    0.000    0.000    0.000 base.py:266(next_sequence)
        1    0.000    0.000    0.000    0.000 base.py:277(check_settings)
  801/800    0.000    0.000    0.002    0.000 base.py:284(ensure_connection)
      100    0.000    0.000    0.000    0.000 base.py:289(prepare_arguments)
      500    0.000    0.000    0.002    0.000 base.py:293(_prepare_cursor)
      100    0.000    0.000    0.002    0.000 base.py:293(_start_transaction_under_autocommit)
      500    0.001    0.000    0.005    0.000 base.py:304(_cursor)
      100    0.000    0.000    0.000    0.000 base.py:307(<genexpr>)
      100    0.000    0.000    0.031    0.000 base.py:310(_commit)
      100    0.000    0.000    0.102    0.001 base.py:314(instantiate)
      500    0.000    0.000    0.143    0.000 base.py:322(execute)
      100    0.000    0.000    0.070    0.001 base.py:325(use_postgeneration_results)
      500    0.000    0.000    0.005    0.000 base.py:327(cursor)
      100    0.000    0.000    0.031    0.000 base.py:332(commit)
      400    0.000    0.000    0.002    0.000 base.py:341(convert_query)
        1    0.000    0.000    0.000    0.000 base.py:399(__init__)
      100    0.000    0.000    0.000    0.000 base.py:402(next)
  302/300    0.000    0.000    0.000    0.000 base.py:430(_base_manager)
        1    0.000    0.000    0.000    0.000 base.py:439(_setup_next_sequence)
      100    0.000    0.000    0.000    0.000 base.py:448(_adjust_kwargs)
      100    0.000    0.000   12.530    0.125 base.py:453(_generate)
      100    0.001    0.000    0.001    0.000 base.py:460(__init__)
      100    0.000    0.000    0.000    0.000 base.py:462(get_autocommit)
      201    0.000    0.000    0.002    0.000 base.py:467(set_autocommit)
      401    0.000    0.000    0.000    0.000 base.py:522(validate_no_atomic_block)
      500    0.000    0.000    0.000    0.000 base.py:529(validate_no_broken_transaction)
      100    0.000    0.000   12.531    0.125 base.py:533(create)
        1    0.000    0.000   12.531   12.531 base.py:541(create_batch)
      701    0.000    0.000    0.000    0.000 base.py:588(close_if_health_check_failed)
      600    0.000    0.000    0.000    0.000 base.py:630(allow_thread_sharing)
      600    0.000    0.000    0.001    0.000 base.py:647(validate_thread_sharing)
      300    0.000    0.000    0.000    0.000 base.py:653(_get_pk_val)
      300    0.000    0.000    0.000    0.000 base.py:665(get_deferred_fields)
        1    0.000    0.000    0.000    0.000 base.py:671(wrap_database_errors)
      500    0.000    0.000    0.000    0.000 base.py:686(make_debug_cursor)
      100    0.000    0.000    0.000    0.000 base.py:762(run_and_clear_commit_hooks)
      300    0.001    0.000    0.195    0.001 base.py:767(save)
      300    0.001    0.000    0.194    0.001 base.py:835(save_base)
      300    0.000    0.000    0.000    0.000 base.py:903(_save_parents)
      300    0.001    0.000    0.192    0.001 base.py:938(_save_table)
      100    0.000    0.000    0.000    0.000 base64.py:51(b64encode)
      100    0.000    0.000   12.197    0.122 base_user.py:107(set_password)
      300    0.000    0.000    0.196    0.001 base_user.py:75(save)
      100    0.000    0.000    0.000    0.000 builder.py:101(<lambda>)
